legacy_url,family,action,proposed_target,priority,notes
https://www.promotedge.com/,core,same-url,/,P0,home; keep 'kolkata' keyword in new title
https://www.promotedge.com/about-us/,core,301,/about/,P0,confirmed live
https://www.promotedge.com/contact-us/,core,301,/contact/,P0,confirmed live; holds CIN/legal NAP
https://www.promotedge.com/career/,core,301,/careers/,P1,
https://www.promotedge.com/services/,core,same-url,/services/,P0,same path exists on new site
https://www.promotedge.com/industries/,core,same-url,/industries/,P0,same path exists on new site
https://www.promotedge.com/location/,core,decide,/ or future /locations/,P2,new site has no locations hub
https://www.promotedge.com/knowledge-hub/,core,301,/blog/,P1,
https://www.promotedge.com/digital-marketing-company-india/,landing,decide,/ (or recreate landing),P1,ranks for 'digital marketing company india'; created Sep 2025
https://www.promotedge.com/case-study/,core,301,/work/,P0,
https://www.promotedge.com/digital-marketing/,service,301,/services/,P0,or /services/performance-marketing/ per GSC query mix
https://www.promotedge.com/digital-marketing/search-engine-optimization/,service,301,/services/seo/,P0,
https://www.promotedge.com/digital-marketing/social-media-optimisation/,service,301,/services/social-media/,P0,
https://www.promotedge.com/digital-marketing/performance-marketing/,service,301,/services/performance-marketing/,P0,
https://www.promotedge.com/digital-marketing/influencer-marketing/,service,301,/services/influencer-marketing/,P1,
https://www.promotedge.com/web-solutions/,service,301,/services/web-design/,P0,
https://www.promotedge.com/web-solutions/website-design-and-development/,service,301,/services/web-design/,P0,
https://www.promotedge.com/web-solutions/e-commerce-portals/,service,301,/services/web-design/ (ecommerce sub-service if built),P1,
https://www.promotedge.com/creative-designing/brand-campaign/,service,301,/services/branding/,P1,
https://www.promotedge.com/brand-strategy/real-estate/,service,301,/industries/real-estate/,P1,
https://www.promotedge.com/audio-visual/,service,port-then-301,/services/audio-visual/ (BUILD),P1,"AV practice missing on new site; build page, else /services/content-marketing/"
https://www.promotedge.com/audio-visual/3d-modeling-and-walkthrough-services/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/audio-visual/animated-films/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/audio-visual/corporate-video-production/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/audio-visual/explainer-videos/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/audio-visual/product-facility-shoot/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/audio-visual/tv-commercials/,service-sub,301,/services/audio-visual/ (BUILD; sub-pages optional),P1,AV sub-service
https://www.promotedge.com/digital-marketing/construction-building-materials/,service-x-industry,301,/industries/manufacturing/,P1,building materials ~ manufacturing; no exact new page
