url,template,status,title_observed,key_findings
/,home,200 verified,PromotEdge — Brand build & grow under one roof,"FAQ block ✅; testimonials 14 named ✅; stats 10+/30+/37 (conflicts elsewhere); email obfuscated; no footer links in text layer"
/index.html,home-duplicate,200 verified,(same as /),"duplicate of / — needs 301/canonical (P1)"
/services/,services hub,200 verified,Services — PromotEdge | Integrated marketing one team,"claims 102 capabilities; 4 groups; ~15 service links"
/services/seo/,service,200 verified,SEO services in India — done the slow logical way Google rewards. — PromotEdge,"title 80 chars; 'sustainance' typo; '175 cities' stat conflict; 8 sub-specialisms listed"
/services/ai-search-optimisation/,service,200 verified,AI Search Optimisation — getting cited in ChatGPT Perplexity and Google AI Overviews. — PromotEdge,"title 100 chars; unsourced '38%' stat; page promises bylines+dates that blog lacks"
/services/web-design/,service,200 verified,Web design for Indian businesses that need their site to actually work. — PromotEdge,"title 85 chars; promises <2s on 4G (hold launch to it); 250+ sites stat"
/services/pr/,service,200 verified,PR that earns coverage worth having — and pays back across years. — PromotEdge,"70+ tier-1 placements claim (add to stat sheet)"
/services/marketplace/,service,200 verified,Marketplace marketing — getting Amazon and Flipkart to deliver real revenue. — PromotEdge,"₹200cr-ish claim truncated in crawl — verify and source"
/services/seo/local-seo/,sub-service,200 verified,Local SEO Services in India | PromotEdge,"byline Satesh Kumar Shaw ✅; good title pattern ✅"
/services/seo/technical-seo/,sub-service,200 verified,Technical SEO Services in India | PromotEdge,"byline ✅; title ✅"
/industries/,industries hub,200 verified,Industries — PromotEdge | Sector-specific marketing,"header says 30+ but 60 listed; label bugs: Fmcg/It Services/Ngos"
/industries/real-estate/,industry,200 verified,Real estate marketing for Indian builders who want their projects to actually sell. — PromotEdge,"breadcrumb=full H1 bug; (/seo) tokens ×2; swallowed placeholders ×5"
/industries/healthcare/,industry,200 verified,Healthcare marketing for Indian hospitals clinics and healthtech brands that take trust seriously. — PromotEdge,"11 (/path) tokens; 'best specialty doctor in city ' placeholder; content depth excellent"
/industries/gst-consultants/,industry,200 verified,Digital Marketing for GST Consultants in India — PromotEdge,"quality bar for industry pages ✅; (/path) tokens ×5; lowercase H3 starts; FAQ ✅"
/work/,work hub,200 verified,Our work — PromotEdge | 200+ brands,"31 cards; 7× 'SaaS Platform' + 2× 'D2C Beauty Brand' duplicate names; 320-EOI stat duplicated across 2 projects"
/work/weichai-india/,case study,200 verified,Weichai India — Case study | PromotEdge,"'What we ran' EMPTY; 'Other results' EMPTY"
/work/active-acres/,case study,200 verified,Active Acres — Case study | PromotEdge,"'What we ran' EMPTY; 'Magicbrickets' typo; 320 EOIs (dup with DTC)"
/work/dtc-southern-heights/,case study,200 verified,DTC Southern Heights — Case study | PromotEdge,"'What we ran' EMPTY; 320 EOIs (dup with Active Acres); 12 press placements claim"
/work/saas-platform/,probe,404,-,"7 SaaS cards have unknown distinct slugs — verify no collisions"
/blog/,blog hub,200 verified,Insights — PromotEdge,"~65 posts listed ✅"
/blog/seo-vs-aeo-vs-geo/,blog post,200 verified,SEO vs AEO vs GEO: How Search Actually Works Now in India — PromotEdge,"NO author byline; NO publish/updated date; body quality good; related links ✅"
/about/,about,200 verified,About PromotEdge — Integrated marketing agency in Kolkata,"24 named team ✅; 'Featured in' EMPTY; 'View all 50+' vs 102 conflict; 12 languages ✅"
/contact/,contact,200 verified,Contact — PromotEdge | Tell us what you're trying to grow,"DEMO FORM (P0-1); founder note ✅; 4 obfuscated emails; process steps ✅"
/careers/,careers,200 verified,Careers — PromotEdge,"9 practice areas; no concrete postings (skip JobPosting schema)"
/case-studies/,probe,404,-,"301 to /work/ at launch (insurance)"
/insights/,probe,404,-,"301 to /blog/ at launch (insurance)"
/privacy-policy/,probe,404,-,"P0-2: must exist at launch"
/terms/,probe,404,-,"P0-2: must exist at launch"
/terms-of-service/,probe,404,-,"-"
/llms.txt,probe,404,-,"ship at launch (04 §5)"
/sitemap.xml,probe,404/timeout,-,"must exist at launch on final domain"
/seo/,probe,404,-,"proves in-body (/seo) link targets are broken (P0-3)"
/web-design/,probe,404,-,"proves in-body (/web-design) link targets are broken (P0-3)"
/services/local-seo/,probe,404,-,"sub-services only exist nested under parent service ✅"
/this-page-does-not-exist-xyz/,probe,404,-,"hard 404 behaviour ✅ (verify HTTP status code at launch)"
